ID,ESTACION,TEMPERATURA,PRECIPITACION,VIENTO,BATERIA
001,COTO,31,12,18,82
002,COTO,36,0,25,76
003,GOLFITO,29,55,14,64
004,CORREDORES,38,63,42,18
005,GOLFITO,27,8,9,91
006,COTO,,0,5,100
007,CORREDORES,19,-3,7,45
008,GOLFITO,33,20,-30,60
009,COTO,25,45,12,120
010,CORREDORES,999,70,50,10
011,GOLFITO,ABC,15,20,55
012,,28,10,15,70
013,COTO,26,5,8,-10
014,CORREDORES,34,0,22,88
015,GOLFITO,30,42,17,63
016,COTO,39,66,33,95
017,CORREDORES,-50,2,6,40
018,GOLFITO,32,,19,72
019,COTO,24,18,,58
020,CORREDORES,37,80,45,25
